Team,Player,Birthplace,Latitude,Longitutde
Los Angeles Lakers,Talen Horton-Tucker,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Memphis Grizzlies,John Konchar,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Miami Heat,Kendrick Nunn,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Minnesota Timberwolves,Evan Turner,"Chicago, Illinois","41°52'55""N","87°37'40""W"
New Orleans Pelicans,Jahlil Okafor,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Orlando Magic,Vic Law,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Sacramento Kings,Jabari Parker,"Chicago, Illinois","41°52'55""N","87°37'40""W"
Houston Rockets,Robert Covington,"Bellwood, Illinois","41°52'59""N","87°52'35""W"
Phoenix Suns,Jevon Carter,"Oak Park, Illinois","41°53'00""N","87°48'00""W"
Cleveland Cavaliers,Mat Mooney,"Niles, Illinois","42°01'40""N","87°48'36""W"
Sacramento Kings,Harrison Barnes,"Ames, Iowa","42°02'05""N","93°37'12""W"
Minnesota Timberwolves,Jake Layman,"Wrentham, Massachusetts","42°04'00""N","71°19'43""W"
Brooklyn Nets,Wilson Chandler,"Benton Harbor, Michigan","42°07'00""N","86°27'15""W"
Toronto Raptors,Fred VanVleet,"Rockford, Illinois","42°15'34""N","89°03'52""W"
Washington Wizards,Shabazz Napier,"Roxbury, Massachusetts","42°19'30""N","71°05'43""W"
Indiana Pacers,Edmond Sumner,"Detroit, Michigan","42°19'54""N","83°02'45""W"
Detroit Pistons,Bruce Brown,"Boston, Massachusetts","42°21'29""N","71°03'49""W"
Milwaukee Bucks,Pat Connaughton,"Arlington, Massachusetts","42°24'55""N","71°09'25""W"
Oklahoma City Thunder,Nerlens Noel,"Malden, Massachusetts","42°25'30""N","71°04'00""W"
Denver Nuggets,Noah Vonleh,"Salem, Massachusetts","42°31'10""N","70°53'50""W"
Orlando Magic,Michael Carter-Williams,"Hamilton, Massachusetts","42°37'11""N","70°51'17""W"
Atlanta Hawks,Kevin Herter,"Albany, New York","42°39'09""N","73°45'26""W"
Utah Jazz,Georges Niang,"Lawrence, Massachusetts","42°42'25""N","71°09'49""W"
Chicago Bulls,Denzel Valentine,"Lansing, Michigan","42°44'01""N","84°32'48""W"
San Antonio Spurs,Bryn Forbes,"Lansing, Michigan","42°44'01""N","84°32'48""W"
Denver Nuggets,Monte Morris,"Grand Rapids, Michigan","42°57'40""N","85°39'20""W"
Phoenix Suns,Devin Booker,"Grand Rapids, Michigan","42°57'40""N","85°39'20""W"
Miami Heat,Tyler Herro,"Greenfield, Wisconsin","42°57'47""N","87°59'45""W"
Charlotte Hornets,Miles Bridges,"Flint, Michigan","43°01'08""N","83°41'36""W"
Los Angeles Lakers,JaVale McGee,"Flint, Michigan","43°01'08""N","83°41'36""W"
Los Angeles Lakers,Kyle Kuzma,"Flint, Michigan","43°01'08""N","83°41'36""W"
Golden State Warriors,Kevon Looney,"Milwaukee, Wisconsin","43°03'00""N","87°57'00""W"
Oklahoma City Thunder,Deonte Burton,"Milwaukee, Wisconsin","43°03'00""N","87°57'00""W"
Phoenix Suns,Tariq Owens,"Utica, New York","43°05'41""N","75°16'33""W"
Miami Heat,Duncan Robinson,"York, Maine","43°09'48""N","70°38'55""W"
Washington Wizards,Thomas Bryant,"Rochester, New York","43°09'56""N","77°36'41""W"
Golden State Warriors,Draymond Green,"Saginaw, Michigan","43°25'04""N","83°57'52""W"
Indiana Pacers,Brian Bowen,"Saginaw, Michigan","43°25'04""N","83°57'52""W"
Houston Rockets,Isaiah Hartenstein,"Eugene, Oregon","44°03'07""N","123°05'12""W"
Golden State Warriors,Jordan Poole,"Marshfield, Wisconsin","44°40'00""N","90°11'00""W"
Memphis Grizzlies,Tyus Jones,"Burnsville, Minnesota","44°46'04""N","93°16'39""W"
Los Angeles Clippers,Amir Coffey,"Hopkins, Minnesota","44°55'51""N","93°24'06""W"
Oklahoma City Thunder,Mike Muscala,"St. Louis Park, Minnesota","44°56'54""N","93°20'53""W"
Utah Jazz,Nigel Williams-Goss,"Happy Valley, Oregon","45°26'45""N","122°32'01""W"
Denver Nuggets,Jerami Grant,"Portland, Oregon","45°31'12""N","122°40'55""W"
Indiana Pacers,Domantas Sabonis,"Portland, Oregon","45°31'12""N","122°40'55""W"
Orlando Magic,Terrence Ross,"Portland, Oregon","45°31'12""N","122°40'55""W"
Los Angeles Lakers,Avery Bradley,"Tacoma, Washington","47°14'29""N","122°27'34""W"
Charlotte Hornets,Jalen McDaniels,"Federal Way, Washington","47°19'00""N","122°21'00""W"
Chicago Bulls,Zach LaVine,"Renton, Washington","47°29'12""N","122°11'43""W"
Milwaukee Bucks,Marvin Williams,"Bremerton, Washington","47°34'12""N","122°39'09""W"
Cleveland Cavaliers,Kevin Porter Jr.,"Seattle, Washington","47°36'35""N","122°19'59""W"
Minnesota Timberwolves,Jaylen Nowell,"Seattle, Washington","47°36'35""N","122°19'59""W"
New York Knicks,Allonzo Trier,"Seattle, Washington","47°36'35""N","122°19'59""W"
San Antonio Spurs,Dejounte Murray,"Seattle, Washington","47°36'35""N","122°19'59""W"
Washington Wizards,Gary Payton II,"Seattle, Washington","47°36'35""N","122°19'59""W"
Brooklyn Nets,Joe Harris,"Chelan, Washington","47°50'34""N","120°01'17""W"
Indiana Pacers,Doug McDermott,"Grand Forks, North Dakota","47°55'31""N","97°01'57""W"
Detroit Pistons,Blake Griffin,"Oklahoma City, Oklahoma","35°28'07""N","97°31'17""W"
Utah Jazz,Joe Ingles,"Adelaide, Australia","34°55'44""S","138°36'04""E"
Oklahoma City Thunder,Abdel Nader,"Alexandria, Egypt","31°12'00""N","29°55'00""E"
Sacramento Kings,Alex Len,"Antratsyt, Ukraine","48°07'09""N","39°05'24""E"
Milwaukee Bucks,Giannis Antetokounmpo,"Athens, Greece","37°59'02""N","23°43'40""E"
Milwaukee Bucks,Thanasis Antetokounmpo,"Athens, Greece","37°59'02""N","23°43'40""E"
Los Angeles Lakers,Kostas Antetokounmpo,"Athens, Greece","37°59'02""N","23°43'40""E"
Toronto Raptors,Marc Gasol,"Barcelona, Spain","41°23'00""N","02°11'00""E"
Sacramento Kings,Nemanja Bjelica,"Belgrade, Serbia (FRMR Yugoslavia)","44°49'00""N","20°28'00""E"
Golden State Warriors,Alen Smailagic,"Belgrade, Serbia (FRMR Yugoslavia)","44°49'00""N","20°28'00""E"
Philadelphia 76ers,Raul Neto,"Belo Horizonte, Brazil","19°55'00""S","43°56'00""W"
Washington Wizards,Moritz Wagner,"Berlin, Germany","52°31'12""N","13°24'18""E"
Brooklyn Nets,Dzanan Musa,"Bihac, Bosnia and Herzegovina","44°49'00""N","15°52'00""E"
Dallas Mavericks,Boban Marjanovic,"Boljevac, Serbia (FRMR Yugoslavia)","43°49'49""N","21°57'11""E"
Phoenix Suns,Elie Okobo,"Bordeaux, France","44°50'00""N","00°35'00""W"
Cleveland Cavaliers,Tristan Thompson,"Brampton, Canada","43°41'00""N","79°46'00""W"
Oklahoma City Thunder,Dennis Schroder,"Braunschweig, Germany","52°16'00""N","10°31'00""E"
Toronto Raptors,Serge Ibaka,"Brazzaville, Republic of the Congo","04°16'04""S","15°17'31""E"
Los Angeles Clippers,Mfiondu Kabengele,"Burlington, Canada","43°19'00""N","79°48'00""W"
San Antonio Spurs,Patty Mills,"Canberra, Australia","35°17'35""S","149°07'37""E"
Brooklyn Nets,Timothe Luwawu-Cabarrot,"Cannes, France","43°33'05""N","07°00'46""E"
Golden State Warriors,Dragan Bender,"Caplijina, Bosnia and Herzegovina","43°06'43""N","17°42'20""E"
Toronto Raptors,Chris Boucher,"Castries, Saint Lucia","14°01'00""N","60°59'00""W"
Brooklyn Nets,Rodions Kurucus,"Cesis, Latvia","57°19'00""N","25°16'00""E"
Detroit Pistons,Sviatoslav Mykhailiuk,"Cherkasy, Ukraine","46°26'40""N","32°03'35""E"
Boston Celtics,Vincent Poirier,"Clamart, France","48°48'05""N","02°15'46""E"
Detroit Pistons,Sekou Doumbouya,"Conakry, Guinea","09°30'33""N","13°42'44""W"
Boston Celtics,Tacko Fall,"Dakar, Senegal","14°41'34""N","17°26'48""W"
Toronto Raptors,Pascal Siakam,"Douala, Cameroon","04°03'00""N","09°42'00""E"
Portland TrailBlazers,Mario Hezonja,"Dubrovnik, Croatia","42°38'25""N","18°06'30""E"
Phoenix Suns,Ricky Rubio,"El Masnou, Spain","41°28'45""N","02°19'05""E"
Milwaukee Bucks,Ersan Ilyasova,"Eskisehir, Turkey","39°46'33""N","30°31'14""E"
Sacramento Kings,Buddy Hield,"Freeport, Bahamas","26°31'43""N","78°41'48""W"
Atlanta Hawks,Clint Capela,"Geneva, Switzerland","46°12'00""N","06°09'00""E"
Phoenix Suns,Aron Baynes,"Gisborne, New Zealand","38°39'45""S","178°01'04""E"
Philadelphia 76ers,Furkan Korkmaz,"Istanbul, Turkey","41°00'49""N","28°57'18""E"
New York Knicks,Frank Ntilikina,"Ixelles, Belgium","50°50'00""N","04°22'00""E"
New York Knicks,Ignas Brazdeikis,Kaunas Lithuania,"54°53'50""N","23°53'10""E"
Phoenix Suns,Cheick Diallo,"Kayes, Mali","14°27'00""N","11°26'00""W"
Memphis Grizzlies,Gorgui Dieng,"Kebemer, Senegal","15°22'12""N","16°27'00""W"
Denver Nuggets,Bol Bol,"Khartoum, Sudan","15°30'02""N","32°33'36""E"
Utah Jazz,Emmanuel Mudiay,"Kinshasa, Zaire","04°19'30""S","15°19'20""E"
Denver Nuggets,Jamal Murray,"Kitchener, Canada","43°25'07""N","80°28'22""W"
Denver Nuggets,Vlatko Cancar,"Koper, Slovenia","45°33'00""N","13°44'00""E"
Minnesota Timberwolves,Josh Okogie,"Lagos, Nigeria","06°27'18""N","03°23'03""E"
Miami Heat,Chris Silva,"Libreville, Gabon","0°23'24""N","09°27'16""E"
Dallas Mavericks,Kristaps Porzingis,"Liepaja, Latvia","56°30'42""N","21°00'50""E"
Charlotte Hornets,Nicolas Batum,"Lisieux, France","49°09'00""N","00°14'00""E"
Miami Heat,Goran Dragic,"Ljubljana, Slovenia (FRMR Yugoslavia)","46°03'20""N","14°30'30""E"
Dallas Mavericks,Luka Doncic,"Ljubljana, Slovenia (FRMR Yugoslavia)","46°03'20""N","14°30'30""E"
Toronto Raptors,OG Anunoby,"London, England","51°30'26""N","00°07'39""W"
Washington Wizards,Admiral Schofield,"London, England","51°30'26""N","00°07'39""W"
Atlanta Hawks,Bruno Fernando,"Luanda, Angola","08°50'18""S","13°14'04""E"
Charlotte Hornets,Bismack Biyombo,"Lubumbashi, Democratic Republic of Congo","11°40'00""S","27°29'00""E"
Charlotte Hornets,Willy Hernangomez,"Madrid, Spain","40°23'00""N","03°43'00""W"
Minnesota Timberwolves,Juan Hernangomez,"Madrid, Spain","40°23'00""N","03°43'00""W"
Dallas Mavericks,JJ Barea,"Mayaguez, Puerto Rico","18°12'04""N","67°08'23""W"
Cleveland Cavaliers,Matthew Dellavedova,"Maryborough, Australia","23°32'15""S","152°42'07""E"
Philadelphia 76ers,Ben Simmons,"Melbourne, Australia","37°48'49""S","144°57'47""E"
Cleveland Cavaliers,Dante Exum,"Melbourne, Australia","37°48'49""S","144°57'47""E"
Memphis Grizzlies,Dillon Brooks,"Mississaugua, Canada","43°36'00""N","79°39'00""W"
Orlando Magic,Khem Birch,"Montreal, Canada","45°30'32""N","73°33'42""W"
Oklahoma City Thunder,Luguentz Dort,"Montreal, Canada","45°30'32""N","73°33'42""W"
Orlando Magic,Nikola Vucevic,"Morges, Switzerland","46°31'00""N","06°30'00""E"
Los Angeles Clippers,Ivica Zubac,"Mostar, Bosnia and Herzegovina","43°20'00""N","17°48'00""E"
Utah Jazz,Bojan Bogdanovic,"Mostar, Bosnia and Herzegovina","43°20'00""N","17°48'00""E"
Phoenix Suns,Deandre Ayton,"Nassau, Bahamas","25°03'36""N","77°20'42""W"
Washington Wizards,Isaac Bonga,"Neuwied, Germany","50°25'43""N","07°27'41""E"
Cleveland Cavaliers,Cedi Osman,"Ohrid, Macedonia","41°07'01""N","20°48'06""E"
Houston Rockets,Bruno Caboclo,"Osasco, Brazil","23°31'58""S","46°47'31""W"
Philadelphia 76ers,Marial Shayok,"Ottawa, Canada","45°25'29""N","75°41'42""W"
Sacramento Kings,Cory Joseph,"Pickering, Canada","43°50'07""N","79°05'20""W"
Los Angeles Clippers,Reggie Jackson,"Pordenone, Italy","45°57'00""N","12°39'00""E"
Atlanta Hawks,Skal Labissiere,"Port-au-Prince, Haiti","18°32'00""N","72°20'00""W"
Chicago Bulls,Cristiano Felicio,"Pouso Alegre, Brazil","22°13'41""S","45°56'01""W"
Chicago Bulls,Tomas Satoransky,"Prague, Czechoslovakia","50°05'00""N","14°25'00""E"
Memphis Grizzlies,Marko Guduric,"Priboj, Serbia (FRMR Yugoslavia)","43°36'00""N","19°32'00""E"
Philadelphia 76ers,Al Horford,"Puerto Plata, Dominican Republic","19°48'00""N","70°41'00""W"
New Orleans Pelicans,Nicolo Melli,"Reggio Emilia, Italy","44°42'00""N","10°38'00""E"
Washington Wizards,Anzejs Pasecniks,"Riga, Latvia","56°56'56""N","24°06'26""E"
Oklahoma City Thunder,Steven Adams,"Rotorua, New Zealand","38°08'16""S","176°15'05""E"
Washington Wizards,Ian Mahinmi,"Rouen, France","49°26'00""N","01°06'00""E"
Washington Wizards,Davis Bertans,"Rujiena, Latvia","57°53'50""N","25°19'33""E"
Indiana Pacers,Goga Bitadze,"Sagarejo, Georgia","41°44'00""N","45°20'25""E"
Oklahoma City Thunder,Danilo Gallinari,"Saint'Angelo Lodigiano, Italy","45°14'00""N","09°24'00""E"
Orlando Magic,Evan Fournier,"Saint-Quentin, France","49°50'55""N","03°17'11""E"
Utah Jazz,Rudy Gobert,"Saint-Quentin, France","49°50'55""N","03°17'11""E"
Boston Celtics,Daniel Theis,"Salzgitter, Germany","52°09'00""N","10°20'00""E"
San Antonio Spurs,Marco Belinelli,"San Giovanni in Persiceto, Italy","44°38'00""N","11°11'00""E"
San Antonio Spurs,Trey Lyles,"Saskatoon, Canada","52°08'00""N","106°41'00""W"
Phoenix Suns,Dario Saric,"Sibenik, Croatia","43°44'06""N","15°53'26""E"
Denver Nuggets,Nikola Jokic,"Sombor, Serbia (FRMR Yugoslavia)","45°47'00""N","19°07'00""E"
Cleveland Cavaliers,Ante Zizic,"Split, Croatia","43°30'36""N","16°27'00""E"
Philadelphia 76ers,Norvel Pelle,"St. John's, Antigua and Barbuda","17°07'00""N","61°51'00""W"
Brooklyn Nets,Kyrie Irving,"Sydney, Australia","33°51'54""S","151°12'34""E"
Indiana Pacers,TJ Leaf,"Tel Aviv, Isreal","32°04'00""N","34°47'00""E"
Miami Heat,Kelly Olynyk,"Toronto, Canada","43°44'30""N","79°22'24""W"
New York Knicks,RJ Barrett,"Toronto, Canada","43°44'30""N","79°22'24""W"
Oklahoma City Thunder,Shai Gilgeous-Alexander,"Toronto, Canada","43°44'30""N","79°22'24""W"
Dallas Mavericks,Dwight Powell,"Toronto, Canada","43°44'30""N","79°22'24""W"
New Orleans Pelicans,Nickeil Alexander-Walker,"Toronto, Canada","43°44'30""N","79°22'24""W"
Golden State Warriors,Andrew Wiggins,"Toronto, Canada","43°44'30""N","79°22'24""W"
Washington Wizards,Rui Hachimura,"Toyama, Japan","36°43'00""N","137°09'00""E"
Portland TrailBlazers,Jusuf Nurkic,"Tuzla, Bosnia and Herzegovina","44°32'17""N","18°40'34""E"
Memphis Grizzlies,Jonas Valanciunas,"Utena, Lithuania","55°30'00""N","25°36'00""E"
Memphis Grizzlies,Brandon Clarke,"Vancouver, Canada","49°15'00""N","123°06'00""W"
Chicago Bulls,Lauri Markkanen,"Vantaa, Finland","60°17'40""N","25°02'25""E"
Houston Rockets,Thabo Sefolosha,"Vevey, Switzerland","46°28'00""N","06°51'00""E"
San Antonio Spurs,Jakob Poeltl,"Vienna, Austria","48°12'00""N","16°22'00""E"
Detroit Pistons,Thon Maker,"Wau, Sudan","07°42'00""N","28°00'00""E"
Dallas Mavericks,Maxi Kleber,"Wurzburg, Germany","49°47'00""N","09°56'00""E"
Philadelphia 76ers,Joel Embiid,"Yaounde, Cameroon","03°52'00""N","11°31'00""E"
Memphis Grizzlies,Yuta Watanabe,"Yokohama, Japan","35°26'39""N","139°38'17""E"
San Antonio Spurs,Luka Samanic,"Zagreb, Croatia","45°49'00""N","15°59'00""E"
