Team,Player,Birthplace,Latitude,Longitutde
Philadelphia 76ers,Matisse Thybulle,"Scottsdale, Arizona","33°30'00""N","111°56'00""W"
Atlanta Hawks,Trae Young,"Lubbock, Texas","33°34'40""N","101°53'24""W"
Chicago Bulls,Chandler Hutchinson,"Mission Viejo, California","33°36'46""N","117°39'22""W"
Houston Rockets,DeMarre Carroll,"Birmingham, Alabama","33°39'12""N","86°48'32""W"
Milwaukee Bucks,Eric Bledsoe,"Birmingham, Alabama","33°39'12""N","86°48'32""W"
Miami Heat,KZ Okpala,"Orange County, California","33°40'12""N","117°46'48""W"
Miami Heat,Jae Crowder,"Villa Rica, Georgia","33°43'55""N","84°55'12""W"
Chicago Bulls,Wendell Carter Jr.,"Atlanta, Georgia","33°45'18""N","84°23'24""W"
Indiana Pacers,Malcom Brogdon,"Atlanta, Georgia","33°45'18""N","84°23'24""W"
Los Angeles Lakers,Dwight Howard,"Atlanta, Georgia","33°45'18""N","84°23'24""W"
Minnesota Timberwolves,Malik Beasley,"Atlanta, Georgia","33°45'18""N","84°23'24""W"
New Orleans Pelicans,Derrick Favors,"Atlanta, Georgia","33°45'18""N","84°23'24""W"
Orlando Magic,Al-Farouq Aminu,"Atlanta, Georgia","33°45'18""N","84°23'24""W"
Detroit Pistons,Christian Wood,"Long Beach, California","33°46'06""N","118°11'44""W"
Houston Rockets,Russell Westbrook,"Long Beach, California","33°46'06""N","118°11'44""W"
New Orleans Pelicans,Lonzo Ball,"Anaheim, California","33°50'10""N","117°53'23""W"
Toronto Raptors,Stanley Johnson,"Anaheim, California","33°50'10""N","117°53'23""W"
San Antonio Spurs,Demar DeRozan,"Compton, California","33°53'48""N","118°13'30""W"
Milwaukee Bucks,Kyle Korver,"Paramount, California","33°54'00""N","118°10'00""W"
Detroit Pistons,Tony Snell,"Watts, California","33°56'30""N","118°14'30""W"
Boston Celtics,Jaylen Brown,"Marietta, Georgia","33°57'12""N","84°32'26""W"
Cleveland Cavaliers,Collin Sexton,"Marietta, Georgia","33°57'12""N","84°32'26""W"
Denver Nuggets,PJ Dozier,"Columbia, South Carolina","34°00'02""N","81°02'05""W"
Denver Nuggets,Torrey Craig,"Columbia, South Carolina","34°00'02""N","81°02'05""W"
Memphis Grizzlies,Ja Morant,"Dalzell, South Carolina","34°01'11""N","80°25'47""W"
Cleveland Cavaliers,Kevin Love,"Santa Monica, California","34°01'19""N","118°28'53""W"
Houston Rockets,Austin Rivers,"Santa Monica, California","34°01'19""N","118°28'53""W"
Brooklyn Nets,Spencer Dinwiddie,"Los Angeles, California","34°03'00""N","118°15'00""W"
Dallas Mavericks,Delon Wright,"Los Angeles, California","34°03'00""N","118°15'00""W"
Golden State Warriors,Klay Thompson,"Los Angeles, California","34°03'00""N","118°15'00""W"
